character,series,wishlist
Featherine Augustus Aurora,Umineko: When They Cry,18
Lukas,Fire Emblem Echoes: Shadows of Valentia,2
Masaru Ebumi,All Out!!,2
Atsumari,Hayate the Combat Butler! Cuties,1
Thitose Cxarma,Tales of Innocence,1
Ponyta,Pokémon,4
Sock Cat,Blue Spring Ride,4
Forgetter,Sentou Yousei Shoujo Tasukete! Mave-chan,1
Zeta Gundam,Mobile Suit Zeta Gundam,6
Smasher,Marvel Future Avengers 2nd Season,1
Tobe,I Can't Understand What My Husband Is Saying: 2nd Thread,1
Momon-chan,Ikeike! Momon-chan,1
Airani Iofifteen,Hololive ID,20
Makoto's Father,Kedama no Gonjiro,0
Sepikmon,Digimon Frontier,0
Jin Dalba,Black Summoner,0
Mariko,Sket Dance,0
Ran,Genshi Shounen Ryuu,0
Rogi the Cricket,Ergo Proxy,0
Hiroto Tonomachi,Date a Live,1
Hazuki Ferrari,Galilei Donna,1
Pelleas,Fire Emblem: Radiant Dawn,1
Delinquent C,Tribe Nine,1
Ricky,Shadows House,1
Clovis La Britannia,Code Geass: Lelouch of the Rebellion,1
Tyrian Callows,RWBY,3
Dendrobium Stamen,Mobile Suit Gundam 0083: Stardust Memory,1
Heisuke Kagano,"Hanayaka Nari, Waga Ichizoku",0
Hanaka Busujima,Buso Renkin,0
Gundam Virtue,Mobile Suit Gundam 00,1
Zanda Cross,Doraemon: Nobita and the Platoon of Iron Men,1
Mei Yachiyo,Release the Spyce,1
Yanagi Hanabusa,DREAM!ing,1
Kuroneko,Trigun,8
Azure King,Bungou Stray Dogs,1
Sousuke Nanase,Ore no Yubi de Midarero.: Heitengo Futarikiri no Salon de...,1
Filomena,DOTA: Dragon's Blood,1
Ino Hatsuse,No Game No Life,1
Rimu,The Dungeon of Black Company,11
Azuro,The Familiar of Zero: Knight of the Twin Moons,1
Kotoko Iwanaga,In/Spectre,51
Fast Ball,Pokémon,1
Leanne,Resonance of Fate,1
Echizen,Tanaka-kun is Always Listless,2
Kotone Shirakawa,Overflow,191
Kureiji Ollie,Hololive ID,74
Aikawa's Bodyguard,Vivy: Fluorite Eye's Song,1
Yukinari Kuroda,Yowamushi Pedal,1
Bulbasaur,Pokémon,28
Hardgore Alice,Magical Girl Raising Project,1
Armin Arlert,Attack on Titan,299
Sir Alfred,Black Lagoon,1
Vera (Flare),Punishing Gray Raven,15
Suneo Honekawa,Doraemon (1979),5
Lachesis,Fire Emblem: Genealogy of the Holy War,2
Kai Akakura,Haikyuu!! To the Top,1
T,Colorful,1
Beguir-Pente,Mobile Suit Gundam: The Witch from Mercury,1
Akiho Sairenji,To Love Ru: Darkness 2nd,1
Cell Max,Dragon Ball Super: Super Hero,3
Chiyo Shimada,Girls und Panzer der Film,1
Shouko Komi,"Komi-san wa, Komyushou desu.",808
Hyouta Ashikaga,Pretty Boy Detective Club,4
Akino,Princess Connect! Re: Dive,1
Xros Up Arresterdramon Superior Mode,Digimon Xros Wars,1
Kyu-chan,Luminous Witches,1
Risei Kotomine,Fate/Zero,1
Hayato,Heion Sedai no Idaten-tachi,2
Shu Yamino,Nijisanji EN,40
Shiena Kenmochi,Riddle Story of Devil,1
Doz,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,1
Nanvel Candlestick,Burn Up! W,0
Yuki Cross,Vampire Knight,42
Ayame Himuro,Rikei ga Koi ni Ochita no de Shoumei shitemita,27
Tarbo,Zegapain,0
Maly,Tsuki to Laika to Nosferatu,1
Exodia Necross,Yu-Gi-Oh! Duel Monsters,5
Kyouko,Ginga e Kickoff!!,0
Goh's Cinderace,Pokémon Journeys: The Series,8
Horo,Violinist of Hamelin,0
Pharos,Persona 3 the Movie 2: Midsummer Knight's Dream,1
Merry,Grimgar of Fantasy and Ash,10
Clau,My Isekai Life: I Gained a Second Character Class and Became the Strongest Sage in the World!,0
Munchlax,Pokémon Movie 7: Destiny Deoxys,3
Klimt,Reincarnated as a Sword,1
Orochi,Jujutsu Kaisen,1
Jamke,Fire Emblem: Genealogy of the Holy War,1
Sadaharu,Gintama,7
Eiko Tsukimi,Ya Boy Kongming!,125
Rohan Kishibe,JoJo's Bizarre Adventure: Diamond Is Unbreakable,110
Makoto,Bubble,5
Ryunosuke Tanaka,Haikyuu!!,51
Mako Toma,Selection Project,1
Terano Totobami,Kakegurui XX,1
Falco Grice,Attack on Titan: The Final Season,20
Minami Nitta,The iDOLM@STER: Cinderella Girls,2
DP System,Amazing Stranger,1
Golem,Suite Precure,1
Mrs. Liebert,Monster,1
Arachne Gorgon,Soul Eater,8
Cisqua,Elemental Gelade,1
Tamase Miki,Muv-Luv,2
Kunihiko Yamada,Sonny Boy,4
Male Morgan,Fire Emblem Awakening,1
Shyarly,One Piece,3
Touko Kirigaya,BanG Dream!,4
Ray Adas,Nanocore,0
Guts,Pipopapo Patrol-kun,1
Gatekeeper,Fire Emblem: Three Houses,5
Gabthley,Mobile Suit Zeta Gundam,1
Myulan,That Time I Got Reincarnated as a Slime 2nd Season,3
Hirao,Shounen Ashibe: Go! Go! Goma-chan (2017),1
Erika Amano,A Couple of Cuckoos,38
Takashi Todoroki,Yu-Gi-Oh! Zexal,0
Dog,Kyoto Animation CM: Kasa-hen,1
Sally,Black Clover,2
Hide Chiba,Starship Operators,0
Chief Kurama,Elfen Lied,2
Uzuki Shimamura,The iDOLM@STER: Cinderella Girls,7
Toto Sakigami,Deadman Wonderland,5
Sakura Hagiwara,Wanna be the Strongest in the World,1
Rikuou Himura,xxxHOLiC,1
Takashi Mitsuya,Tokyo Revengers,152
Mitsunari Ishida,Sengoku Basara: Samurai Kings Movie - The Last Party,1
Selena (Tempest),Punishing Gray Raven,11
Letz,Mobile Suit Gundam,0
Avaricious Vulcan,Solo Leveling,1
Fuuka Toyokawa,The iDOLM@STER Million Live! 4th Anniversary PV,1
Rufus,Sakugan,0
Ichigen Miwa,K-Project,1
Charmander,Pokémon,14
Annabelle,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,1
Ai,Yu-Gi-Oh! VRAINS,6
Cocoon of Evolution,Yu-Gi-Oh! Duel Monsters,1
Quilladin,Pokémon XY & Z,1
Shun Kuribayashi,"Kanojo, Okarishimasu",1
Joy,Granblue Fantasy,1
Tokino Sora,Hololive: Holo no Graffiti,25
Mirin,gdgd Fairies Movie: tte Iu Eiga wa Dou kana...?,1
Chiri,Idol Time PriPara,1
Haru Arisugawa,Love After World Domination,3
Heizo Ogawa,Rurouni Kenshin,1
Rhea,Fire Emblem: Three Houses,12
Ao Yodogawa,Selection Project,1
Maria Ishida,A Silent Voice,3
Kars,JoJo's Bizarre Adventure,64
Secre Swallowtail,Black Clover,167
Mew,Pokémon: The First Movie,64
Shinju Inui,My Dress-Up Darling,66
White Heart,Hyperdimension Neptunia,10
Phia Oliveira,Heat Guy J,0
Rui Habashira,Eyeshield 21,1
Darjeeling,Girls und Panzer,9
Enrico Maxwell,Hellsing,4
Apollo,The World God Only Knows: Goddesses Arc,1
Matsuboshi Raidou,Aharen-san wa Hakarenai,6
Arataki Itto,Genshin Impact,372
Death,Castlevania Season 4,11
Silver Bird Hairpin,Demon King Daimao,1
Romulus-Quirinus,Fate/Grand Order,2
Kamen Rider Amazon,Kamen Rider SD,3
Dark Sakura,Fate/stay night: Heaven's Feel II. lost butterfly,56
Darkness,Yu-Gi-Oh! GX,1
Aoi Sanada,Kobayashi ga Kawai Sugite Tsurai!!,1
Awayuki Reizei,Otome wa Boku ni Koishiteru: Futari no Elder,1
13,Dorohedoro,5
Ayaka Kazamata,Softenni,0
Yuu Kashima,Yarichin Bitch-bu,5
Aleksai Amigochaz,Tower of God,1
Solid Silva,Black Clover,1
Chakuro,Children of the Whales,4
Albedo,Overlord,1119
Kaga Sumire,Virtual eSports Project,18
Type 97 Shinhoto Chi-Ha,Girls und Panzer,1
Choujirou Momochi,Nightshade,1
Krulcifer Einfolk,Undefeated Bahamut Chronicle,18
Drysa,Shaman King,0
Sougen,Mononoke,1
Matsuzawa,Hitorijime My Hero,1
Chiaki Nanami,Danganronpa 2: Goodbye Despair,234
Tsubaki's Short-Haired Minion,BONJOUR Sweet Love Pâtisserie,0
Kitasan Black,Uma Musume: Pretty Derby Season 2,40
Pretty the Second,Heaven's Lost Property,1
Tokomon X,Digimon X-Evolution,2
Hamzou,The iDOLM@STER,1
Sealeo,Pokémon Advanced,1
Fuyuki Hakase,Nijisanji,1
Eve,Record of Ragnarok,3
Sora,Beast Tamer,4
Loki,Marvel Disk Wars: The Avengers,20
Furfur,Umineko: When They Cry,1
Gama,Jujutsu Kaisen,1
Rin Tohsaka,Fate/stay night,745
Kouen Ren,Magi: The Kingdom of Magic,1
Kuma,Boku wa Kuma,1
Yasuhiro,Tribe Nine,0
Lola Metrose,The Hidden Dungeon Only I Can Enter,1
Sayaka Saeki,Bloom Into You,7
Fighter 69,Dragon Ball,3
Hugo Lesseps,Infinite Dendrogram,1
Alfred Walken,Muv-Luv Alternative,1
Rollo,Tales of Xillia 2,1
Ranko Kasumi,Kasumin,2
Galluk,How NOT to Summon a Demon Lord,1
Nazuna Nanakusa,Call of the Night,760
Futaba Igarashi,My Senpai is Annoying,56
Akane Aoi,Toilet-Bound Hanako-kun,50
Elaina,Wandering Witch: The Journey of Elaina,210
Toshiro Hitsugaya,Bleach,167
Kou Yamori,Call of the Night,61
Guiltia Brion,Visual Prison,7
Thor,Record of Ragnarok,22
Beelzebub,Obey Me!,89
Xinyan,Genshin Impact,22
Ars Almal,Nijisanji,6
Nishikigi Chisato,Lycoris Recoil,556
Yuno Gasai,Future Diary,394
Kanae Kochou,Demon Slayer: Kimetsu no Yaiba,41
Nene Kusanagi,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,138
Maki Oze,Fire Force,123
Kurumi Nonaka,The Testament of Sister New Devil,6
Raphtalia,The Rising of the Shield Hero,455
Miku Nakano,The Quintessential Quintuplets,1277
Rin,Spirited Away,5
Cheng Xiaoshi,Link Click,252
Mion Sonozaki,When They Cry: Higurashi,38
Kuzuha,Nijisanji,31
L,Death Note,727
Utsugi Tsukimiya,A Destructive God Sits Next to Me,3
Flora Beltrum,Seirei Gensouki: Spirit Chronicles,2
Alucard,Hellsing,423
Tae Sekihara,Rurouni Kenshin,0
Deathmagla,Cautious Hero: The Hero Is Overpowered but Overly Cautious,1
Ibaraki-Douji,Fate/Grand Order,7
Dojima Daigo,Yakuza 2,10
Nadeko Sengoku,Bakemonogatari,74
Kokomi Teruhashi,The Disastrous Life of Saiki K.,57
Fushi,To Your Eternity,221
Yukina Himeragi,Strike the Blood,69
Diona,Genshin Impact,53
Brook,One Piece,331
Bertholdt Hoover,Attack on Titan,17
Tsukasa Mizugaki,Plastic Memories,7
Kanade's Mother,Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,1
Hitoshi Ginjima,Haikyuu!! To the Top,1
Hinata Tachibana,Tokyo Revengers,123
Juliet Persia,Boarding School Juliet,43
Hana Uzaki,Uzaki-chan Wants to Hang Out!,108
Airi Sega,Iya na Kao Sarenagara Opantsu Misete Moraitai,1
Yasuho Hirose,JoJo's Bizarre Adventure: JoJolion,39
Maes Hughes,Fullmetal Alchemist,24
Karel,Fire Emblem: The Blazing Blade,1
Jellicent,Pokémon: Black & White,1
Mao Ninagawa,Blue Reflection,0
Akiko Yosano,Bungou Stray Dogs,42
Diavolo,JoJo's Bizarre Adventure: Golden Wind,80
Seiya Ryuuguuin,Cautious Hero: The Hero Is Overpowered but Overly Cautious,23
Fuyumi Irisu,Hyouka,1
Porco Galliard,Attack on Titan: The Final Season,10
Ana-Maria Marschner,Tales of Luminaria,1
Shouta Nakagawa,Free! - Iwatobi Swim Club,1
Sayori,Doki Doki Literature Club!,236
Haruka Kiritani,Project SEKAI COLORFUL STAGE! feat. Hatsune Miku,51
MC Maid,Haiyore! Nyaruko-san W,0
Portgas D. Ace,One Piece,533
Lucoa,Miss Kobayashi's Dragon Maid,208
Nana Komatsu,Nana,189
James's Amoonguss,Pokémon: Black & White: Adventures in Unova,72
Roboworld President,Redline,1
Lee On,Nijisanji KR,1
AZKi,Hololive: Holo no Graffiti,25
Joseph Joestar,JoJo's Bizarre Adventure,456
Sora Takeuchi,Air Gear,2
Gilliam,Blue Dragon,0
Sakura Matou,Fate/stay night,101
Draconic Bladegod Jeanscar,Miss Kuroitsu from the Monster Development Department,1
Tytree Crowe,Tales of Rebirth,1
Araesha,Genshin Impact,1
Dino Tyranno,Dinozaurs: The Series,0
Nezu,Children of the Whales,0
Piano,takt op.Destiny,2
Mimikyu,Pokémon Sun & Moon,65
Shea Haulia,Arifureta: From Commonplace to World's Strongest,47
Yuria Niguredou,Mieruko-chan,7
Karen Joshua,Mobile Suit Gundam 08th MS Team,1
Tooru Takase,Bakuten!!,1
Cocoa Yazawa,Love Live! School Idol Project 2,1
Freia Arlgrande Jioral,Redo of Healer,30
Buer,As Miss Beelzebub Likes.,1
Guarana,One Piece,1
Pengin Maniwa,Katanagatari,1
Giratina,Pokémon: Hoopa and the Clash of Ages,29
Kajika Burnsworth,Hanasakeru Seishounen,1
Pingu,Pingu in the City,210
Korori,I'm Quitting Heroing,1
Type 3 Chi-Nu,Girls und Panzer,1
Ion,Tales of the Abyss,1
Nami,Full Metal Panic! Invisible Victory,1
Akibi,One Piece,1
Ramlethal Valentine,Guilty Gear,38
Tsunetomo Yamamoto,Godzilla Singular Point,1
Staraptor,Pokémon: Diamond & Pearl,1
Mei Kamino,Godzilla Singular Point,4
Getsudan,Phoenix,0
Haruhiko Yoshino,Rewrite,2
Dogosse Giar,Mobile Suit Zeta Gundam,1
Kamuri Sengoku,Slow Start,1
Maria Kurenai,Vampire Knight,1
Jiliora,Gude Crest - The Emblem of Gude,0
South Italy,Hetalia: Axis Powers,15
Child,Melancholy of Haruhi-chan Suzumiya,1
Rosa Plevitskaya,Tsuki to Laika to Nosferatu,1
Principal,Gabriel Dropout,1
Ladros,Black Clover,1
Gallus,Maple Story,1
Ambulanceroid,Yu-Gi-Oh! GX,1
Rose,Kemono Michi: Rise Up,1
Big Bad Wolf,Date A Live IV,1
Kaede Kayano,Assassination Classroom,13
Sing Soo Ling,Banana Fish,5
Luna,Jewelpet,1
Jiro,Blue Dragon,1
Mamoru Chiba,Sailor Moon,12
Namie Umino,A Couple of Cuckoos,1
Ranko Kanzaki,The iDOLM@STER: Cinderella Girls,10
Qiaomei Lin,Hakata Tonkotsu Ramens,0
Mimi,Hakumei and Mikochi,0
Nuckelavee,RWBY,1
Chihiro Fujisaki,Danganronpa: The Animation,41
Megu Shion,Kuromajo-san ga Tooru!!,0
The Joker,Batman Ninja,17
Love,Shiki Specials,1
Anak Zahard,Tower of God,1
Cozun Graham,Mobile Suit Gundam,1
Namicar Cornell,Mobile Suit Zeta Gundam,0
Cohral,In the Land of Leadale,0
Mika Uehara,Initial D Final Stage,1
J. Animal M.,Ace of the Diamond,0
Yoichi Isagi,Blue Lock,713
Female Reporter,My Hero Academia,2
Detective,Yamishibai: Japanese Ghost Stories 5th Season,0
Rachel Phantomhive,Black Butler,1
The Young Girl,Comedy,1
Mine Kuramae,Fruits Basket,1
The Maze,Cardcaptor Sakura,1
Okappa,Plastic Nee-san,1
Sawshark,Heaven's Design Team,1
Female Corrin,Fire Emblem Fates,40
Warrior of Light,Final Fantasy XIV,11
Palomides,Divine Gate,0
Queen,Garo: Vanishing Line,1
Perla,Yume Oukoku to Nemureru 100 Nin no Ouji-sama: Short Stories,0
Bergamo,Dragon Ball Super,1
Yuma Tsukumo,Yu-Gi-Oh! Zexal,12
Turner,Pokémon XY,1
Ensign Nogami,The Cockpit,1
Nona Equal,Amazing Stranger,1
Sousuke Kagura,Classicaloid,0
Sagamiya Konro,Fire Force,3
Arch Lich,Solo Leveling,1
Cardinal,Sword Art Online: Alicization,1
Jirocho Wasabi,Naruto,1
Artura Arrima,Super Neptunia RPG,0
Rom Ror,Heroic Age,1
Leshe Meuller,Turn A Gundam,0
Geki,Rurouni Kenshin,0
Jeff Bowen,Project ARMS,0
Akira Yatagarasu,The Day I Became a God,1
Theresia van Astrea,Re:ZERO -Starting Life in Another World-,4
Will Cudeta,Arifureta: From Commonplace to World's Strongest,0
Mizuki Shidou,Gundam Build Divers Re:RISE,0
Koinatsu's Kamuro B,Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc,1
Takemikazuchi,Is It Wrong to Try to Pick Up Girls in a Dungeon?,1
August Gidan,Mobile Suit Gundam ZZ,0
Hikaru,Wish Upon the Pleiades,1
Hiyori Minagi,Slow Loop,1
Polydeuces,Persona 3 the Movie 1: Spring of Birth,1
Yoshida,High Score,0
Suguru Koshigaya,Non Non Biyori,1
Shiki Amabe,I-CHU: Halfway Through the Idol,1
Tsui-Ling,Kaze no Stigma,1
Chyron,The Animatrix,0
King,Kaidan Restaurant,0
Chikaru Minamoto,Strawberry Panic,1
Toki Kaidou,The Disastrous Life of Saiki K. 2nd Season,1
Ge-chan,Sket Dance,0
Janet Barlow,Blood Blockade Battlefront & Beyond,1
Ougi Oshino,Monogatari Series: Second Season,37
Kaito Kuroba,Magic Kaito 1412,23
Hysteric Angel,Yu-Gi-Oh! Duel Monsters,1
Koharu Sakurai,Love is Like a Cocktail,1
Bede,Pokémon: Twilight Wings,5
Cliff Fochrosé,Kuma Kuma Kuma Bear,1
Shogun Muichimun,Miss Kuroitsu from the Monster Development Department,0
Jin Russell,"Problem Children Are Coming from Another World, Aren't They?",1
Mr. Sakaguchi,Hajime no Ippo: Rising,1
Cal-141,Halo Legends,3
Ng,Gokudo,1
Uhna,Skeleton Knight in Another World,1
Ryouko Asuka,Beelzebub,1
Thrones Mois,Saint Seiya Movie 4: Warriors of the Final Holy Battle,1
The Fly,Cardcaptor Sakura,1
Souffle,Food Fantasy,1
Sheep Tony,Sakugan,1
Stuck-in-Place Super Glue,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,1
Kusatsu,This Boy Caught a Merman,0
Grimmjow Jeagerjaques,Bleach,274
Nagi Kengamine,Deadman Wonderland,1
Tomie Kawakami,Junji Ito Collection,211
Rio Nakamura,Assassination Classroom,5
Might Duy,Naruto Shippuden,1
Ryouta Suzui,Kakegurui,4
Feower,Granblue Fantasy,1
Hel,Seirei Gensouki: Spirit Chronicles,0
Orga Itsuka,Mobile Suit Gundam: Iron-Blooded Orphans,8
MP5,Girls' Frontline,2
Kawasaki,Kirby: Right Back at Ya!,2
Nene Saikyou,Chivalry of a Failed Knight,1
Acht,Cagaster of an Insect Cage,1
Pharsalia,Million Arthur,1
Commander,"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku Dake Dewanai no ja!",0
Laurier,NEKOPARA - Catboys Paradise,14
Ash's Meltan,Pokémon Sun & Moon,3
Aquarium Uncle,Gyokou no Nikuko-chan,0
Taroumaru,School-Live!,11
Alice McCoy,Digimon Tamers,1
Anna Mochizuki,The iDOLM@STER Movie,1
Ashley Graham,Resident Evil 4: Incubate,21
Misako Hojo,Btooom!,0
School Girl B,"Okoshiyasu, Chitose-chan",1
Kaibaman,Yu-Gi-Oh! GX,1
Sakaki Sowande,Keep Your Hands Off Eizouken!,1
Hitoshi Shinsou,My Hero Academia 2,56
Kawauso Maniwa,Katanagatari,1
Polar Tang,One Piece,4
Realgar Wine,Food Fantasy,1
Fiore Forvedge Yggdmillennia,Fate/Apocrypha,1
Iroha Tamaki,Magia Record: Puella Magi Madoka Magica Side Story,11
Theo Magath,Attack on Titan: The Final Season,3
Pipsie Malmo,Forest Fairy Five: Fairy Tale,0
Sahuagin,Miss Kuroitsu from the Monster Development Department,0
Judy Devens,Phantom: Requiem for the Phantom,0
Zorome,DARLING in the FRANXX,2
Wallace,Fire Emblem: The Blazing Blade,1
Cerberus,Hozuki's Coolheadedness,1
Ky Kiske,Guilty Gear,12
Tiese Schtrinen,Sword Art Online: Alicization,1
Ash's Starly,Pokémon: Diamond & Pearl,1
Gedam,Battle Spirits: Saikyou Ginga Ultimate Zero,0
Nozomi Kusaka,Seven Senses of the Re'Union,1
Yuito Sumeragi,Scarlet Nexus,9
Fort-Class BETA,Muv-Luv Alternative,1
Three-Minute Revive,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,1
Raven,Honkai Impact 3rd,15
Siesta,The Detective is Already Dead,375
Saki Saki,"Girlfriend, Girlfriend",27
Kakeru Suzaki,Skate-Leading Stars,1
Bondman,Spy x Family,1
Ritsuka Takesaka,Baku Ane 2: Otouto Ippai Shibocchau zo!,175
Angie,Resident Evil Village,1
Oshiri Mae Man,Oshiri Mae Man,4
Akane Origami,Katana Maidens: Toji no Miko,0
Hardin,Fire Emblem: Shadow Dragon and the Blade of Light,1
Kareem,Fairy Tail: Final Season,1
Energy Potion,Drugstore in Another World: The Slow Life of a Cheat Pharmacist,1
Takuma Saeki,Hajime no Ippo: The Fighting!,1
Nanana,CRYSTAR,1
Wisely Kamelot,D.Gray-man Hallow,1
Liu Min,Link Click,1
Sabowey Worker,"Komi-san wa, Komyushou desu.",1
Tonton,Naruto,3
Antonio,Cowboy Bebop,1
Blamuro,Shaman King,0
Gundam Kimaris Vidar,Mobile Suit Gundam: Iron-Blooded Orphans,1
Aotake,Kamisama Kiss,1
Lorenzo,Honkai Impact 3rd,1
Tris Sergeyrev,Mobile Fighter G Gundam,2
Dryas,Seirei Gensouki: Spirit Chronicles,1
Emperor,Akame ga Kill!,1
Transmitter-Crippling Device,The Promised Neverland,1
Killua's Skateboard,Hunter x Hunter (2011),41
Ken Shirai,Tamayura: Hitotose,0
Arita,Sengoku Collection,0
Impulse Gundam,Mobile Suit Gundam SEED Destiny,1
Aoi,Princess Connect! Re: Dive,1
Mifuyu Matsumoto,K-On!!,1
IRyS,Hololive EN,104
Beef Bowl Man,Urusei Yatsura,1
Migiri Yasuri,Katanagatari,1
Hasky,Dragon Ball,0
Lettie Hatter,Howl's Moving Castle,1
Tina,Closers,3
Sodum,Trigun,0
Pingu's Father,Pingu in the City,4
Hina's Mother,Houkago Teibou Nisshi,1
Alzack Birmings,Mobile Suit Gundam AGE,0
Ubamega-san,Binchou-tan,0
Souseki,Tsubasa Reservoir Chronicle 2nd Season,1
Hoteye,Fairy Tail,1
Mio,Encouragement of Climb 3,0
Yuri's Mother,Alien Nine,0
Wolf,Pikotarou no Lullaby Lu-llaby,1
Teddiursa,Pokémon: Spell of the Unown,3
Mei Sakaguchi,How Heavy Are the Dumbbells You Lift?,1
Cat,Music Girls (2015),1
Petr Capek,Monster,1
Sailor Star Maker,Sailor Moon Sailor Stars,1
Kazuhiko Hirano,Hajime no Ippo: The Fighting!,1
Aquamarine Hoshino,Oshi no Ko,432
Kyousuke Hori,Horimiya,14
Laplus Darknesss,Hololive: Holo no Graffiti,87
Helen,Kuma Kuma Kuma Bear,1
Resistance Member B,Akira,0
Ahiru Ikegawa,Boruto: Naruto Next Generations,1
Quiz,Doraemon: Nobita's Treasure Island,1
Darui,Naruto Shippuden,1
Chika Takami,Love Live! Sunshine!!,9
Margrave Juro,Star Wars: Visions,1
Cioccolata,JoJo's Bizarre Adventure: Golden Wind,4
Jin Ishino,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu,0
Tatsumi O'mori,God Eater,1
Arle Heinessen,Legend of the Galactic Heroes,0
Abyss Lector: Violet Lightning,Genshin Impact,1
Hekaterina,Aku no Onna Kanbu: Full Moon Night,1
Nora Arendt,Spice and Wolf,1
Vice Principal,Super Cub,0
Nataku Li,Hakyuu Hoshin Engi,1
Hector,Castlevania Season 2,22
Mega Camerupt,Pokémon XY: Mega Evolution,1
Fletchinder,Pokémon XY,1
Coach Chen,Scissor Seven,1
Jin Kariya,Bleach,1
Denden Sensor,Fuuto PI,0
Suzu Minase,Revue Starlight Re LIVE,1
Jyushi Aimono,Hypnosis Mic -Alternative Rap Battle-,11
Hippo Truck,BuBu ChaCha,4
Sumire,La Storia Della Arcana Famiglia,1
Nelly,Dance in the Vampire Bund,1
William Kemp,Mobile Suit Gundam: The Origin,1
Ranma Saotome,Ranma ½,98
Qwenthur Barbotage,Heavy Object,1
Dark Repulser,Sword Art Online,7
Naesala,Fire Emblem: Path of Radiance,1
Madlax,Madlax,1
Natsumi,Date a Live III,28
Nasi Lemak,Food Fantasy,1
Nobunaga Kiyota,Slam Dunk,1
Ms. Momoi,Blue Exorcist,0
Nagisa Minase,"Girlfriend, Girlfriend",32
Aoyama's Mother,Penguin Highway,0
Kousaku Hata,No-Rin,1
Teppei Sugo,Psycho-Pass 2,1
Hangetsu Tsukuyomi,Chivalry of a Failed Knight,0
Exorcist,Francesca,0
Yato,Noragami,341
Kazuma's Father,Summer Wars,0
Spirit of Wind,Shaman King (2021),2
Baund Doc,Mobile Suit Zeta Gundam,1
Kage's Friend,Ousama Ranking,1
Katzelia,Granblue Fantasy,1
Prince Toma,Ranma ½: Nihao My Concubine,0
Arthur Pendragon,The Seven Deadly Sins,9
Chiyori,Selector Infected WIXOSS,0
Toranosuke Miyamura,Yamada-kun and the Seven Witches,5
Xiao,Genshin Impact,774
Vaike,Fire Emblem Awakening,1
Johngalli A,JoJo's Bizarre Adventure: Stone Ocean,1
Kirika Akatsuki,Symphogear G,9
Miho Azuki,Bakuman. 2,2
M14,Girls' Frontline,2
Push Dagger,Shadow Star Narutaru,1
Metus,Solo Leveling,1
Riko Toma,Selection Project,1
Zeno Zoldyck,Hunter x Hunter,19
Sylph,Granblue Fantasy,1
Tarisa Manandal,Muv-Luv Alternative: Total Eclipse,1
Yuuki Asuhara,"Nora, Princess, and Stray Cat",1
UN Surface Pilot 4,Muv-Luv Alternative,1
Komori Yukari,Murenase! Seton Gakuen,1
Feitan,Hunter x Hunter,185
Grandpa Forest,Pokémon Sun & Moon,1
Coraly,Love Tyrant,1
Mai Sakurajima,Rascal Does Not Dream of Bunny Girl Senpai,1577
Vivian Justine,Shadowverse,0
Paisley Park,JoJo's Bizarre Adventure: JoJolion,2
Joe,Seven Knights Revolution: Hero Successor,1
Principal,Ayane's High Kick,0
Shapur,The Heroic Legend of Arslan (1991),0
Purrgis,Epic Seven,1
Police Officer,Space Battleship Tiramisu,0
Storm,X-Men,3
Suga,Android Announcer Maico 2010,0
Petra Leyte,Re:ZERO -Starting Life in Another World-,7
Pocha,Rumble Garanndoll,0
Jupiter,Pokémon: Diamond & Pearl,1
Jun Sakurada,Rozen Maiden,1
Viktoria Dahlgrun,Magical Girl Lyrical Nanoha ViVid,1
Zola,Busou Shinki: Armored War Goddess,1
Reiji Sugimoto,Solo Leveling,1
Mudora,Yu-Gi-Oh! Duel Monsters,0
Farfar,gdgd Fairies,1
Holy Mami,Magia Record: Puella Magi Madoka Magica Side Story,8
Sheska,Fullmetal Alchemist,1
Joe,YU-NO: A Girl Who Chants Love at the Bound of This World,1
Kentou Kanami,Rance 01: The Quest for Hikari,1
Cyber Jar,Yu-Gi-Oh! Duel Monsters,1
Kurono Yuuichirou,Fire Force Season 2,3
Dive Ball,Pokémon Advanced,1
Hiroko Funakubo,Saki: Episode of Side A,1
Long-Range Uncle,Miss Kuroitsu from the Monster Development Department,0
Arthur de Richemont,Ulysses: Jeanne d'Arc and the Alchemist Knight,1
Nanase Tendou,Day Break Illusion: il sole penetra le illusioni,0
